Kartica,Kategorija,Naziv HR,Opis HR,Količina,Cijena,Sidrena cijena,Alergeni,Prikaži,Za van,Vino uz jelo,Naziv EN,Opis EN,Naziv DE,Opis DE,Naziv IT,Opis IT,Naziv FR,Opis FR,Naziv ES,Opis ES,Naziv PT,Opis PT,Naziv NL,Opis NL,Naziv PL,Opis PL,Naziv RU,Opis RU,Naziv HU,Opis HU,Naziv CS,Opis CS,Naziv SK,Opis SK,Naziv SL,Opis SL,Naziv UA,Opis UA,Naziv RO,Opis RO,Slika
Jelovnik,KIDS MENU,čevapčići,"pomfrit, sok jabuka / naranča",,"14,00","14,00",1,DA,DA,,cevapcici,"French fries, apple/orange juice",Cevapcici,"Pommes frites, Apfel-/Orangensaft",cevaptici,"Patatine fritte, succo di mela/arancia",cevapcici,cevapcici,cevapcici,"Papas fritas, jugo de manzana/naranja",cevapcici,"Batatas fritas, suco de maçã/laranja",cevapcici,"Frietjes, appel-/sinaasappelsap",cevapcici,"Frytki, sok jabłkowy/pomarańczowy",чевапцици,"Картофель фри, яблочный/апельсиновый сок",Cevapcici,"Sült krumpli, alma-/narancslé",čevapčiči,"Hranolky, jablečný/pomerančový džus",čevapčiči,"Hranolky, jablkový/pomarančový džús",čevapčići,"Pomfrit, jabolčni/pomarančni sok",чевапчичі,"Картопля фрі, яблучний/апельсиновий сік",cevapcici,"Cartofi prăjiți, suc de mere/portocale",
Jelovnik,KIDS MENU,bečki odrezak,"pomfrit, sok",,"14,00","14,00","1,3",DA,DA,,vienna steak,"French fries, juice",Wiener Steak,"Pommes frites, Saft",bistecca viennese,"Patatine fritte, succo di frutta",steak viennois,steak viennois,filete vienés,"papas fritas, jugo",bife vienense,"Batatas fritas, suco",Weense steak,"Frietjes, sap",stek wiedeński,"Frytki, sok",венский стейк,"Картофель фри, сок",bécsi steak,"Sült krumpli, gyümölcslé",vídeňský steak,"Hranolky, džus",viedenský steak,"Hranolky, džús",dunajski zrezek,"Pomfrit, sok",віденський стейк,"Картопля фрі, сік",friptură vieneză,"Cartofi prăjiți, suc",
Jelovnik,KIDS MENU,chicken nuggets,"pomfrit, sok",,"14,00","14,00","1,3,6,7",DA,DA,,chicken nuggets,"French fries, juice",Chicken Nuggets,"Pommes frites, Saft",crocchette di pollo,"Patatine fritte, succo di frutta",nuggets de poulet,nuggets de poulet,nuggets de pollo,"papas fritas, jugo",nuggets de frango,"Batatas fritas, suco",kipnuggets,"Frietjes, sap",nuggetsy z kurczaka,"Frytki, sok",куриные наггетсы,"Картофель фри, сок",csirkefalatkák,"Sült krumpli, gyümölcslé",kuřecí nugetky,"Hranolky, džus",kuracie nugetky,"Hranolky, džús",piščančji medaljoni,"Pomfrit, sok",курячі нагетси,"Картопля фрі, сік",nuggets de pui,"Cartofi prăjiți, suc",
Jelovnik,KIDS MENU,špageti bolognese,sok,,"12,00","12,00","1,9,12",DA,DA,,spaghetti bolognese,juice,Spaghetti Bolognese,Saft,spaghetti alla bolognese,succo,spaghetti bolognaise,spaghetti bolognaise,espaguetis a la boloñesa,jugo,espaguete à bolonhesa,suco,spaghetti bolognese,sap,spaghetti bolognese,sok,спагетти болоньезе,сок,bolognai spagetti,lé,špagety bolonské,šťáva,špagety bolonské,šťava,špageti bolonjez,sok,спагеті болоньєзе,сік,spaghete bolognese,suc,
Jelovnik,KIDS MENU,špageti rajčica bosiljak,sok,,"12,00","12,00","1,9",DA,DA,,spaghetti tomato basil,juice,Spaghetti mit Tomaten und Basilikum,Saft,spaghetti pomodoro basilico,succo,spaghetti tomate basilic,spaghetti tomate basilic,espaguetis tomate albahaca,jugo,espaguete com tomate e manjericão,suco,spaghetti tomaat basilicum,sap,spaghetti pomidor bazylia,sok,спагетти с помидорами и базиликом,сок,spagetti paradicsom bazsalikom,lé,špagety rajče bazalka,šťáva,špagety paradajka bazalka,šťava,špageti paradižnik bazilika,sok,спагеті помідор базилік,сік,spaghete roșii busuioc,suc,
Specijaliteti,,Ravioli punjeni jakobovim kapicama i kozicama u umaku od rakova i kavijara,,,"21,00","21,00",,DA,DA,Malvazija Kozlović 🥂,Ravioli filled with scallops and prawns in crab and caviar sauce,,Ravioli mit Jakobsmuscheln und Garnelen in Krabben-Kaviar-Sauce,,Ravioli ripieni di capesante e gamberi in salsa di granchio e caviale,,"Raviolis farcis aux Saint-Jacques et crevettes, sauce crabe et caviar",,Raviolis rellenos de vieiras y gambas en salsa de cangrejo y caviar,,Ravioli recheados com vieiras e camarão em molho de caranguejo e caviar,,Ravioli gevuld met sint-jakobsschelpen en garnalen in krab-kaviaarsaus,,Ravioli z przegrzebkami i krewetkami w sosie krabowym z kawiorem,,Равиоли с морскими гребешками и креветками в соусе из краба и икры,,"Ravioli fésűkagylóval és garnélával, rák-kaviár mártásban",,Ravioli plněné hřebenatkami a krevetami v krabí omáčce s kaviárem,,Ravioli plnené hrebenatkami a krevetami v krabej omáčke s kaviárom,,Ravioli s pokrovačami in kozicami v omaki iz rakov in kaviarja,,Равіолі з морськими гребінцями та креветками в соусі з краба та ікри,,Ravioli umpluți cu scoici Saint-Jacques și creveți în sos de crab și caviar,,ravioli-kapice-kozice.jpg
Specijaliteti,,Ravioli punjeni ricottom i špinatom u umaku od kadulje i pršuta,,,"19,00","19,00",,DA,DA,Malvazija Deklić 🥂,Ravioli filled with ricotta and spinach in sage and prosciutto sauce,,Ravioli mit Ricotta und Spinat in Salbei-Prosciutto-Sauce,,Ravioli ricotta e spinaci in salsa di salvia e prosciutto,,"Raviolis ricotta et épinards, sauce sauge et prosciutto",,Raviolis de ricotta y espinacas en salsa de salvia y jamón,,Ravioli de ricota e espinafres em molho de salva e presunto,,Ravioli met ricotta en spinazie in salie-prosciuttosaus,,Ravioli z ricottą i szpinakiem w sosie szałwiowym z szynką,,Равиоли с рикоттой и шпинатом в соусе из шалфея и прошутто,,"Ravioli ricottával és spenóttal, zsályás-sonkás mártásban",,Ravioli s ricottou a špenátem v šalvějové omáčce se šunkou,,Ravioli s ricottou a špenátom v šalviovej omáčke so šunkou,,Ravioli z rikoto in špinačo v omaki iz žajblja in pršuta,,Равіолі з рикотою та шпинатом у соусі з шавлії та прошуто,,Ravioli cu ricotta și spanac în sos de salvie și prosciutto,,
Specijaliteti,,Ravioli punjeni skutom u tartufati s listićima crnog tartufa,,,"18,50","18,50",,DA,DA,Pošip Nerica 🥂,Ravioli filled with fresh cheese in truffle sauce with black truffle shavings,,Ravioli mit Frischkäse in Trüffelsauce mit schwarzen Trüffelspänen,,Ravioli ripieni di formaggio fresco in salsa al tartufo con scaglie di tartufo nero,,"Raviolis au fromage frais, sauce truffe et copeaux de truffe noire",,Raviolis de queso fresco en salsa de trufa con láminas de trufa negra,,Ravioli de queijo fresco em molho de trufa com lascas de trufa negra,,Ravioli met verse kaas in truffelsaus met zwarte truffelschaafsel,,Ravioli z twarożkiem w sosie truflowym z płatkami czarnej trufli,,Равиоли со свежим сыром в трюфельном соусе с лепестками чёрного трюфеля,,"Ravioli friss sajttal, szarvasgombamártásban, fekete szarvasgomba-forgáccsal",,Ravioli s čerstvým sýrem v lanýžové omáčce s plátky černého lanýže,,Ravioli s čerstvým syrom v hľuzovkovej omáčke s plátkami čiernej hľuzovky,,Ravioli s skuto v tartufati z lističi črnega tartufa,,Равіолі зі свіжим сиром у трюфельному соусі з пелюстками чорного трюфеля,,Ravioli cu brânză proaspătă în sos de trufe cu fulgi de trufe negre,,ravioli-tartufata.jpg
Specijaliteti,,Rižoto od lošinjske sipe,,,"18,50","18,50",,DA,DA,Chard Apolitico 🥂,Lošinj cuttlefish risotto,,Risotto mit Lošinjer Tintenfisch,,Risotto alle seppie di Lussino,,Risotto à la seiche de Lošinj,,Risotto de sepia de Lošinj,,Risoto de choco de Lošinj,,Risotto met inktvis uit Lošinj,,Risotto z mątwą z Lošinja,,Ризотто с лошиньской каракатицей,,Rizottó lošinji tintahallal,,Rizoto se sépií z Lošinje,,Rizoto so sépiou z Lošinja,,Rižota z lošinjsko sipo,,Різото з лошинською каракатицею,,Risotto cu sepie de Lošinj,,
Specijaliteti,,Crveni rižoto s kozicama i tikvicama,,,"18,50","18,50",,DA,DA,Malvazija Bastijan 🥂,Red risotto with prawns and courgettes,,Rotes Risotto mit Garnelen und Zucchini,,Risotto rosso con gamberi e zucchine,,Risotto rouge aux crevettes et courgettes,,Risotto rojo con gambas y calabacín,,Risoto vermelho com camarão e curgete,,Rode risotto met garnalen en courgette,,Czerwone risotto z krewetkami i cukinią,,Красное ризотто с креветками и цукини,,Vörös rizottó garnélával és cukkinivel,,Červené rizoto s krevetami a cuketou,,Červené rizoto s krevetami a cuketou,,Rdeča rižota s kozicami in bučkami,,Червоне різото з креветками та цукіні,,Risotto roșu cu creveți și dovlecei,,
Specijaliteti,,Rižoto s komadićima bifteka i karameliziranim ljubičastim lukom,,,"18,50","18,50",,DA,DA,Cabernet Korlat 🍷,Risotto with beef tenderloin pieces and caramelised red onion,,Risotto mit Rinderfiletstücken und karamellisierten roten Zwiebeln,,Risotto con bocconcini di filetto e cipolla rossa caramellata,,Risotto aux morceaux de filet de bœuf et oignon rouge caramélisé,,Risotto con trozos de solomillo y cebolla morada caramelizada,,Risoto com pedaços de lombo de vaca e cebola roxa caramelizada,,Risotto met stukjes ossenhaas en gekarameliseerde rode ui,,Risotto z kawałkami polędwicy i karmelizowaną czerwoną cebulą,,Ризотто с кусочками говяжьей вырезки и карамелизированным красным луком,,Rizottó bélszínfalatokkal és karamellizált lilahagymával,,Rizoto s kousky svíčkové a karamelizovanou červenou cibulí,,Rizoto s kúskami sviečkovice a karamelizovanou červenou cibuľou,,Rižota s koščki govejega fileja in karamelizirano rdečo čebulo,,Різото зі шматочками яловичої вирізки та карамелізованою червоною цибулею,,Risotto cu bucăți de mușchi de vită și ceapă roșie caramelizată,,
Specijaliteti,,Confit od creske janjetine s krumpirom i povrćem,,,"39,00","39,00",,DA,DA,Crljenak Kaštelanski 🍷,Cres lamb confit with potatoes and vegetables,,Confit vom Creser Lamm mit Kartoffeln und Gemüse,,Confit di agnello di Cherso con patate e verdure,,"Confit d'agneau de Cres, pommes de terre et légumes",,Confit de cordero de Cres con patatas y verduras,,Confit de borrego de Cres com batatas e legumes,,Confit van lam uit Cres met aardappelen en groenten,,Confit z jagnięciny z Cres z ziemniakami i warzywami,,Конфи из ягнёнка с острова Црес с картофелем и овощами,,Cresi bárány confit burgonyával és zöldségekkel,,Confit z jehněčího z Cresu s bramborami a zeleninou,,Confit z jahňaciny z Cresu so zemiakmi a zeleninou,,Confit creške jagnjetine s krompirjem in zelenjavo,,Конфі з ягнятини з острова Црес з картоплею та овочами,,Confit de miel de Cres cu cartofi și legume,,
Specijaliteti,,Dalmatinska pašticada à la Deveron s njokima,,,"26,00","26,00",,DA,DA,Teran Deklić 🍷,Dalmatian pašticada (braised beef) à la Deveron with gnocchi,,Dalmatinische Pašticada (Schmorbraten) à la Deveron mit Gnocchi,,Pašticada dalmata (brasato di manzo) alla Deveron con gnocchi,,Pašticada dalmate (bœuf braisé) à la Deveron avec gnocchis,,Pašticada dálmata (estofado de ternera) a la Deveron con ñoquis,,Pašticada dálmata (carne estufada) à Deveron com gnocchi,,Dalmatische pašticada (gestoofd rundvlees) à la Deveron met gnocchi,,Dalmatyńska pašticada (duszona wołowina) à la Deveron z kopytkami,,Далматинская паштицада (тушёная говядина) по-деверонски с ньокки,,"Dalmát pašticada (párolt marhahús) Deveron módra, gnocchival",,Dalmatská pašticada (dušené hovězí) à la Deveron s noky,,Dalmátska pašticada (dusené hovädzie) à la Deveron s haluškami,,Dalmatinska pašticada à la Deveron z njoki,,Далматинська паштицада (тушкована яловичина) по-деверонськи з ньокі,,Pašticada dalmată (vită înăbușită) à la Deveron cu gnocchi,,
Specijaliteti,,Gulaš od lošinjsko-creske divljači,,,"21,00","21,00",,DA,DA,Syrah Korlat 🍷,Lošinj-Cres game goulash,,Gulasch vom Wild aus Lošinj und Cres,,Gulasch di selvaggina di Lussino e Cherso,,Goulash de gibier de Lošinj et Cres,,Gulash de caza de Lošinj y Cres,,Goulash de caça de Lošinj e Cres,,Goulash van wild uit Lošinj en Cres,,Gulasz z dziczyzny z Lošinja i Cres,,Гуляш из дичи с островов Лошинь и Црес,,Lošinji-cresi vadpörkölt,,Guláš ze zvěřiny z Lošinje a Cresu,,Guláš zo zveriny z Lošinja a Cresu,,Golaž iz lošinjsko-creške divjačine,,Гуляш з дичини з островів Лошинь і Црес,,Gulaș de vânat din Lošinj și Cres,,
Specijaliteti,,Ražnjić Deveron / aromatizirani krumpir / sotirano povrće,,,"27,00","27,00",,DA,DA,Merlot Korlat 🍷,Deveron skewer / seasoned potatoes / sautéed vegetables,,Deveron-Spieß / gewürzte Kartoffeln / sautiertes Gemüse,,Spiedino Deveron / patate aromatizzate / verdure saltate,,Brochette Deveron / pommes de terre aromatisées / légumes sautés,,Brocheta Deveron / patatas aromatizadas / verduras salteadas,,Espetada Deveron / batatas aromatizadas / legumes salteados,,Deveron-spies / gekruide aardappelen / gebakken groenten,,Szaszłyk Deveron / aromatyczne ziemniaki / smażone warzywa,,Шашлычок Deveron / ароматный картофель / соте из овощей,,Deveron nyárs / fűszeres burgonya / pirított zöldségek,,Špíz Deveron / kořeněné brambory / restovaná zelenina,,Špíz Deveron / korenené zemiaky / restovaná zelenina,,Nabodalo Deveron / aromatiziran krompir / pražena zelenjava,,Шашлик Deveron / ароматна картопля / соте з овочів,,Frigăruie Deveron / cartofi aromați / legume sotate,,raznjic-deveron.jpg
Specijaliteti,,"Mesni pladanj Deveron (ćevapi, pljeskavica, kobasica, ražnjić, batak i zabatak, pileća prsa), pomfrit + đuveč",,,"64,00","64,00",,DA,DA,Čaruga Apolitico 🍷,"Deveron meat platter (ćevapi, pljeskavica, sausage, skewer, chicken leg, chicken breast), fries + đuveč rice",,"Deveron-Fleischplatte (Ćevapi, Pljeskavica, Wurst, Spieß, Hähnchenkeule, Hähnchenbrust), Pommes + Đuveč-Reis",,"Tagliere di carne Deveron (ćevapi, pljeskavica, salsiccia, spiedino, coscia e petto di pollo), patatine + riso đuveč",,"Plateau de viandes Deveron (ćevapi, pljeskavica, saucisse, brochette, cuisse et blanc de poulet), frites + riz đuveč",,"Tabla de carnes Deveron (ćevapi, pljeskavica, salchicha, brocheta, muslo y pechuga de pollo), patatas fritas + arroz đuveč",,"Tábua de carnes Deveron (ćevapi, pljeskavica, salsicha, espetada, perna e peito de frango), batatas fritas + arroz đuveč",,"Vleesplateau Deveron (ćevapi, pljeskavica, worst, spies, kippenbout, kipfilet), friet + đuveč-rijst",,"Półmisek mięsny Deveron (ćevapi, pljeskavica, kiełbasa, szaszłyk, udko, pierś z kurczaka), frytki + ryż đuveč",,"Мясное ассорти Deveron (чевапи, плескавица, колбаска, шашлычок, куриная ножка, куриная грудка), картофель фри + джувеч",,"Deveron hústál (ćevapi, pljeskavica, kolbász, nyárs, csirkecomb, csirkemell), hasábburgonya + đuveč",,"Masový talíř Deveron (ćevapi, pljeskavica, klobása, špíz, kuřecí stehno, kuřecí prsa), hranolky + đuveč",,"Mäsová misa Deveron (ćevapi, pljeskavica, klobása, špíz, kuracie stehno, kuracie prsia), hranolčeky + đuveč",,"Mesni krožnik Deveron (čevapčiči, pleskavica, klobasa, nabodalo, piščančje bedro, piščančje prsi), pomfri + đuveč",,"Мʼясне асорті Deveron (чевапі, плескавиця, ковбаска, шашлик, куряча ніжка, куряче філе), картопля фрі + джувеч",,"Platou de carne Deveron (ćevapi, pljeskavica, cârnat, frigăruie, pulpă și piept de pui), cartofi prăjiți + đuveč",,
Specijaliteti,,"Riblja plata za 2 osobe (orada, brancin, lignje, škampi, kozice, dagnje, tuna) + blitva",,,"64,00","64,00",,DA,DA,Matuško Grk 🥂,"Fish platter for 2 (gilt-head bream, sea bass, squid, scampi, prawns, mussels, tuna) + Swiss chard",,"Fischplatte für 2 Personen (Dorade, Wolfsbarsch, Tintenfisch, Scampi, Garnelen, Miesmuscheln, Thunfisch) + Mangold",,"Piatto di pesce per 2 (orata, branzino, calamari, scampi, gamberi, cozze, tonno) + bietola",,"Plateau de poisson pour 2 (dorade, bar, calamars, langoustines, crevettes, moules, thon) + blettes",,"Parrillada de pescado para 2 (dorada, lubina, calamares, cigalas, gambas, mejillones, atún) + acelgas",,"Travessa de peixe para 2 (dourada, robalo, lulas, lagostins, camarão, mexilhões, atum) + acelga",,"Visplateau voor 2 (dorade, zeebaars, inktvis, langoustines, garnalen, mosselen, tonijn) + snijbiet",,"Półmisek rybny dla 2 osób (dorada, labraks, kalmary, langustynki, krewetki, małże, tuńczyk) + boćwina",,"Рыбное ассорти на 2 персоны (дорадо, сибас, кальмары, лангустины, креветки, мидии, тунец) + мангольд",,"Haltál 2 személyre (aranydurbincs, tengeri sügér, tintahal, scampi, garnéla, kagyló, tonhal) + mángold",,"Rybí mísa pro 2 osoby (pražma, mořčák, kalamáry, humrík, krevety, slávky, tuňák) + mangold",,"Rybia misa pre 2 osoby (pražma, morský ostriež, kalamáre, homárik, krevety, slávky, tuniak) + mangold",,"Ribji krožnik za 2 osebi (orada, brancin, lignji, škampi, kozice, klapavice, tuna) + blitva",,"Рибне асорті на 2 особи (дорадо, сибас, кальмари, лангустини, креветки, мідії, тунець) + мангольд",,"Platou de pește pentru 2 (doradă, lup de mare, calamar, scampi, creveți, midii, ton) + mangold",,
Specijaliteti,,"Buzara za 2 osobe (škampi, dagnje, kozice, jakobove kapice, vongole, pljukanci)",,,"64,00","64,00",,DA,DA,Maestoso Sur Lie 🥂,"Buzara for 2 (scampi, mussels, prawns, scallops, clams, pljukanci pasta)",,"Buzara für 2 Personen (Scampi, Miesmuscheln, Garnelen, Jakobsmuscheln, Venusmuscheln, Pljukanci-Nudeln)",,"Busara per 2 (scampi, cozze, gamberi, capesante, vongole, pasta pljukanci)",,"Buzara pour 2 (langoustines, moules, crevettes, Saint-Jacques, palourdes, pâtes pljukanci)",,"Buzara para 2 (cigalas, mejillones, gambas, vieiras, almejas, pasta pljukanci)",,"Buzara para 2 (lagostins, mexilhões, camarão, vieiras, amêijoas, massa pljukanci)",,"Buzara voor 2 (langoustines, mosselen, garnalen, sint-jakobsschelpen, venusschelpen, pljukanci-pasta)",,"Buzara dla 2 osób (langustynki, małże, krewetki, przegrzebki, wongole, makaron pljukanci)",,"Бузара на 2 персоны (лангустины, мидии, креветки, морские гребешки, вонголе, паста плюканци)",,"Buzara 2 személyre (scampi, kagyló, garnéla, fésűkagyló, vongole, pljukanci tészta)",,"Buzara pro 2 osoby (humrík, slávky, krevety, hřebenatky, vongole, těstoviny pljukanci)",,"Buzara pre 2 osoby (homárik, slávky, krevety, hrebenatky, vongole, cestoviny pljukanci)",,"Buzara za 2 osebi (škampi, klapavice, kozice, pokrovače, vongole, pljukanci)",,"Бузара на 2 особи (лангустини, мідії, креветки, морські гребінці, вонголе, паста плюканці)",,"Buzara pentru 2 (scampi, midii, creveți, scoici Saint-Jacques, vongole, paste pljukanci)",,buzara.jpg
Doručak,Doručak 🥐,Kroasan,,,"3,50","3,50",,DA,DA,,Croissant,,Croissant,,Cornetto,,Croissant,,Cruasán,,Croissant,,Croissant,,Croissant,,Круассан,,Croissant,,Croissant,,Croissant,,Rogljiček,,Круасан,,Croissant,,
Doručak,Doručak 🥐,Tost,,,"5,00","5,00",,DA,DA,,Toast,,Toast,,Toast,,Croque (toast),,Tostada,,Tosta mista,,Tosti,,Tost,,Тост,,Melegszendvics,,Toast,,Toast,,Toast,,Тост,,Toast,,
Doručak,Doručak 🥐,Jaja sa slaninom,,,"8,50","8,50",,DA,DA,,Bacon and eggs,,Eier mit Speck,,Uova e pancetta,,Œufs au bacon,,Huevos con beicon,,Ovos com bacon,,Eieren met spek,,Jajka na bekonie,,Яичница с беконом,,Tojás szalonnával,,Vejce se slaninou,,Vajcia so slaninou,,Jajca s slanino,,Яєчня з беконом,,Ouă cu bacon,,
Doručak,Doručak 🥐,"Doručak (šunka, sir, maslac, marmelada)",,,"7,50","7,50",,DA,DA,,"Breakfast (ham, cheese, butter, jam)",,"Frühstück (Schinken, Käse, Butter, Marmelade)",,"Colazione (prosciutto cotto, formaggio, burro, marmellata)",,"Petit-déjeuner (jambon, fromage, beurre, confiture)",,"Desayuno (jamón, queso, mantequilla, mermelada)",,"Pequeno-almoço (fiambre, queijo, manteiga, compota)",,"Ontbijt (ham, kaas, boter, jam)",,"Śniadanie (szynka, ser, masło, dżem)",,"Завтрак (ветчина, сыр, масло, джем)",,"Reggeli (sonka, sajt, vaj, lekvár)",,"Snídaně (šunka, sýr, máslo, marmeláda)",,"Raňajky (šunka, syr, maslo, džem)",,"Zajtrk (šunka, sir, maslo, marmelada)",,"Сніданок (шинка, сир, масло, джем)",,"Mic dejun (șuncă, brânză, unt, gem)",,
Doručak,Doručak 🥐,Granola (musli s jogurtom),,,"6,50","6,50",,DA,DA,,Granola (muesli with yogurt),,Granola (Müsli mit Joghurt),,Granola (muesli con yogurt),,Granola (muesli au yaourt),,Granola (muesli con yogur),,Granola (muesli com iogurte),,Granola (muesli met yoghurt),,Granola (musli z jogurtem),,Гранола (мюсли с йогуртом),,Granola (müzli joghurttal),,Granola (müsli s jogurtem),,Granola (müsli s jogurtom),,Granola (muesli z jogurtom),,Гранола (мюслі з йогуртом),,Granola (musli cu iaurt),,
Doručak,Doručak 🥐,Jaja sa šunkom,,,"7,50","7,50",,DA,DA,,Ham and eggs,,Eier mit Schinken,,Uova e prosciutto cotto,,Œufs au jambon,,Huevos con jamón,,Ovos com fiambre,,Eieren met ham,,Jajka z szynką,,Яичница с ветчиной,,Tojás sonkával,,Vejce se šunkou,,Vajcia so šunkou,,Jajca s šunko,,Яєчня з шинкою,,Ouă cu șuncă,,
Doručak,Doručak 🥐,Omlet od tri jaja,,,"7,50","7,50",,DA,DA,,Three-egg omelette,,Omelett aus drei Eiern,,Omelette di tre uova,,Omelette de trois œufs,,Tortilla de tres huevos,,Omelete de três ovos,,Omelet van drie eieren,,Omlet z trzech jajek,,Омлет из трёх яиц,,Háromtojásos omlett,,Omeleta ze tří vajec,,Omeleta z troch vajec,,Omleta iz treh jajc,,Омлет із трьох яєць,,Omletă din trei ouă,,
Doručak,Doručak 🥐,Omlet sa sirom,,,"8,00","8,00",,DA,DA,,Cheese omelette,,Käseomelett,,Omelette al formaggio,,Omelette au fromage,,Tortilla de queso,,Omelete de queijo,,Kaasomelet,,Omlet z serem,,Омлет с сыром,,Sajtos omlett,,Sýrová omeleta,,Syrová omeleta,,Omleta s sirom,,Омлет із сиром,,Omletă cu brânză,,
Doručak,Doručak 🥐,Omlet s povrćem,,,"8,00","8,00",,DA,DA,,Vegetable omelette,,Gemüseomelett,,Omelette di verdure,,Omelette aux légumes,,Tortilla de verduras,,Omelete de legumes,,Groenteomelet,,Omlet z warzywami,,Омлет с овощами,,Zöldséges omlett,,Zeleninová omeleta,,Zeleninová omeleta,,Omleta z zelenjavo,,Омлет з овочами,,Omletă cu legume,,
Doručak,Doručak 🥐,Club sendvič,,,"9,00","9,00",,DA,DA,,Club sandwich,,Club-Sandwich,,Club sandwich,,Club sandwich,,Sándwich club,,Sanduíche club,,Clubsandwich,,Club sandwich,,Клаб-сэндвич,,Club szendvics,,Club sendvič,,Club sendvič,,Club sendvič,,Клаб-сендвіч,,Club sandwich,,
Doručak,Pića za doručak 🥤,Svježe cijeđeni sok od naranče,,"0,10 l","2,50","2,50",,DA,DA,,Fresh orange juice,,Frisch gepresster Orangensaft,,Spremuta d'arancia,,Jus d'orange pressé,,Zumo de naranja natural,,Sumo de laranja natural,,Vers geperste sinaasappelsap,,Świeżo wyciskany sok pomarańczowy,,Свежевыжатый апельсиновый сок,,Frissen facsart narancslé,,Čerstvě vymačkaný pomerančový džus,,Čerstvo vytlačený pomarančový džús,,Sveže stisnjen pomarančni sok,,Свіжовичавлений апельсиновий сік,,Suc proaspăt de portocale,,
Doručak,Pića za doručak 🥤,Svježa limunada,,"0,30 l","4,00","4,00",,DA,DA,,Fresh lemonade,,Frische Limonade,,Limonata fresca,,Citronnade maison,,Limonada natural,,Limonada fresca,,Verse limonade,,Świeża lemoniada,,Свежий лимонад,,Friss limonádé,,Čerstvá limonáda,,Čerstvá limonáda,,Sveža limonada,,Свіжий лимонад,,Limonadă proaspătă,,
Doručak,Pića za doručak 🥤,Limunada s jagodom,,"0,40 l","6,00","6,00",,DA,DA,,Strawberry lemonade,,Erdbeerlimonade,,Limonata alla fragola,,Citronnade à la fraise,,Limonada de fresa,,Limonada de morango,,Aardbeienlimonade,,Lemoniada truskawkowa,,Клубничный лимонад,,Epres limonádé,,Jahodová limonáda,,Jahodová limonáda,,Jagodna limonada,,Полуничний лимонад,,Limonadă cu căpșuni,,
Doručak,Pića za doručak 🥤,Limunada s mangom,,"0,40 l","6,00","6,00",,DA,DA,,Mango lemonade,,Mango-Limonade,,Limonata al mango,,Citronnade à la mangue,,Limonada de mango,,Limonada de manga,,Mangolimonade,,Lemoniada mango,,Лимонад с манго,,Mangós limonádé,,Mangová limonáda,,Mangová limonáda,,Limonada z mangom,,Лимонад з манго,,Limonadă cu mango,,
Doručak,Pića za doručak 🥤,Limunada s breskvom,,"0,40 l","6,00","6,00",,DA,DA,,Peach lemonade,,Pfirsichlimonade,,Limonata alla pesca,,Citronnade à la pêche,,Limonada de melocotón,,Limonada de pêssego,,Perziklimonade,,Lemoniada brzoskwiniowa,,Персиковый лимонад,,Barackos limonádé,,Broskvová limonáda,,Broskyňová limonáda,,Breskova limonada,,Персиковий лимонад,,Limonadă cu piersici,,
Doručak,Pića za doručak 🥤,Limunada s mentom,,"0,40 l","6,00","6,00",,DA,DA,,Mint lemonade,,Minzlimonade,,Limonata alla menta,,Citronnade à la menthe,,Limonada de menta,,Limonada de hortelã,,Muntlimonade,,Lemoniada miętowa,,Мятный лимонад,,Mentás limonádé,,Mátová limonáda,,Mätová limonáda,,Metina limonada,,Мʼятний лимонад,,Limonadă cu mentă,,
Doručak,Pića za doručak 🥤,Domaći ledeni čaj,,"0,40 l","6,00","6,00",,DA,DA,,Homemade iced tea,,Hausgemachter Eistee,,Tè freddo fatto in casa,,Thé glacé maison,,Té helado casero,,Chá gelado caseiro,,Huisgemaakte ijsthee,,Domowa mrożona herbata,,Домашний холодный чай,,Házi jeges tea,,Domácí ledový čaj,,Domáci ľadový čaj,,Domači ledeni čaj,,Домашній холодний чай,,Ceai rece de casă,,
Doručak,Pića za doručak 🥤,Mimosa (prosecco + svježi sok od naranče),,,"8,50","8,50",,DA,DA,,Mimosa (prosecco + fresh orange juice),,Mimosa (Prosecco + frischer Orangensaft),,Mimosa (prosecco + spremuta d'arancia),,Mimosa (prosecco + jus d'orange pressé),,Mimosa (prosecco + zumo de naranja natural),,Mimosa (prosecco + sumo de laranja natural),,Mimosa (prosecco + verse sinaasappelsap),,Mimosa (prosecco + świeży sok pomarańczowy),,Мимоза (просекко + свежий апельсиновый сок),,Mimosa (prosecco + friss narancslé),,Mimosa (prosecco + čerstvý pomerančový džus),,Mimosa (prosecco + čerstvý pomarančový džús),,Mimosa (prosecco + sveži pomarančni sok),,Мімоза (просеко + свіжий апельсиновий сік),,Mimosa (prosecco + suc proaspăt de portocale),,
Doručak,Smoothie i frappe 🥤,Smoothie od jagode,,"0,4 l","6,00","6,00",,DA,DA,,Strawberry smoothie,,Erdbeer-Smoothie,,Smoothie alla fragola,,Smoothie à la fraise,,Smoothie de fresa,,Smoothie de morango,,Aardbeiensmoothie,,Smoothie truskawkowe,,Клубничный смузи,,Epres smoothie,,Jahodové smoothie,,Jahodové smoothie,,Jagodni smoothie,,Полуничний смузі,,Smoothie de căpșuni,,
